"eligibleTitle","link","searchYear","oscarsYear","matchname","tconst","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres","winner","id"
"7th Heaven","https://tvtropes.org/pmwiki/pmwiki.php/Film/SeventhHeaven",1927,1928,"7thheaven1928","tt0018379","movie","7th Heaven","7th Heaven",0,1927,,110,"Drama,Romance",1,"m0001"
"Metropolis","https://tvtropes.org/pmwiki/pmwiki.php/Film/Metropolis",1927,1928,"metropolis1928","tt0017136","movie","Metropolis","Metropolis",0,1927,,153,"Drama,Sci-Fi",0,"m0002"
"Speedy","https://tvtropes.org/pmwiki/pmwiki.php/Film/Speedy",1928,1928,"speedy1928","tt0019412","movie","Speedy","Speedy",0,1928,,85,"Action,Comedy,Family",0,"m0003"
"Stark Love","https://tvtropes.org/pmwiki/pmwiki.php/Film/StarkLove",1927,1928,"starklove1928","tt0018446","movie","Stark Love","Stark Love",0,1927,,70,"Drama",0,"m0004"
"Sunrise","https://tvtropes.org/pmwiki/pmwiki.php/Film/Sunrise",1927,1928,"sunrise1928","tt0018455","movie","Sunrise","Sunrise: A Song of Two Humans",0,1927,,94,"Drama,Romance",0,"m0005"
"The Big Parade","https://tvtropes.org/pmwiki/pmwiki.php/Film/TheBigParade",1925,1928,"bigparade1928","tt0015624",,,,,,,,,0,"m0006"
"The Cat and the Canary","https://tvtropes.org/pmwiki/pmwiki.php/Theatre/TheCatAndTheCanary",1922,1928,"catandthecanary1928","tt0017739","movie","The Cat and the Canary","The Cat and the Canary",0,1927,,108,"Comedy,Horror,Mystery",0,"m0007"
"The Circus","https://tvtropes.org/pmwiki/pmwiki.php/Film/TheCircus",,1928,"circus1928","tt0018773","movie","The Circus","The Circus",0,1928,,72,"Comedy,Romance",0,"m0008"
"The Cossacks","https://tvtropes.org/pmwiki/pmwiki.php/Film/TheCossacks",1928,1928,"cossacks1928","tt0018795","movie","The Cossacks","The Cossacks",0,1928,,92,"Drama",0,"m0009"
"The Crowd","https://tvtropes.org/pmwiki/pmwiki.php/Film/TheCrowd",1928,1928,"crowd1928","tt0018806","movie","The Crowd","The Crowd",0,1928,,98,"Drama,Romance",0,"m0010"
"The Jazz Singer","https://tvtropes.org/pmwiki/pmwiki.php/Film/TheJazzSinger",1927,1928,"jazzsinger1928","tt0018037","movie","The Jazz Singer","The Jazz Singer",0,1927,,88,"Drama,Music,Musical",0,"m0011"
"The Racket","https://tvtropes.org/pmwiki/pmwiki.php/Film/TheRacket",1928,1928,"racket1928","tt0019304","movie","The Racket","The Racket",0,1928,,84,"Crime,Drama,Film-Noir",1,"m0012"
"The Student Prince in Old Heidelberg","https://tvtropes.org/pmwiki/pmwiki.php/Film/TheStudentPrinceInOldHeidelberg",1927,1928,"studentprinceinoldheidelberg1928","tt0018451","movie","The Student Prince in Old Heidelberg","The Student Prince in Old Heidelberg",0,1927,,106,"Drama,Romance",0,"m0013"
"Two Arabian Nights","https://tvtropes.org/pmwiki/pmwiki.php/Film/TwoArabianKnights",1927,1928,"twoarabiannights1928",,,,,,,,,,0,"m0014"
"Underworld","https://tvtropes.org/pmwiki/pmwiki.php/Film/Underworld1927",1927,1928,"underworld1928","tt0018526","movie","Underworld","Underworld",0,1927,,80,"Crime,Drama,Film-Noir",0,"m0015"
"Wings","https://tvtropes.org/pmwiki/pmwiki.php/Film/Wings",1927,1928,"wings1928","tt0018578","movie","Wings","Wings",0,1927,,144,"Action,Drama,Romance",2,"m0016"
"Docks of New York","https://tvtropes.org/pmwiki/pmwiki.php/Film/TheDocksofNewYork",1928,1929,"docksofnewyork1929","tt0018839","movie","The Docks of New York","The Docks of New York",0,1928,,76,"Crime,Drama,Film-Noir",0,"m0019"
"Lights of New York","https://tvtropes.org/pmwiki/pmwiki.php/Film/LightsOfNewYork",1928,1929,"lightsofnewyork1929","tt0019096","movie","Lights of New York","Lights of New York",0,1928,,57,"Crime,Drama",0,"m0020"
"Our Dancing Daughters","https://tvtropes.org/pmwiki/pmwiki.php/Film/OurDancingDaughters",1928,1929,"ourdancingdaughters1929","tt0019237","movie","Our Dancing Daughters","Our Dancing Daughters",0,1928,,85,"Drama",0,"m0022"
"Show Boat","https://tvtropes.org/pmwiki/pmwiki.php/Theatre/Showboat",1927,1929,"showboat1929","tt0020402","movie","Show Boat","Show Boat",0,1929,,147,"Drama,Musical,Romance",0,"m0023"
"The Broadway Melody","https://tvtropes.org/pmwiki/pmwiki.php/Film/TheBroadwayMelody",1929,1929,"broadwaymelody1929","tt0019729","movie","The Broadway Melody","The Broadway Melody",0,1929,,100,"Drama,Musical,Romance",2,"m0024"
"The Cameraman","https://tvtropes.org/pmwiki/pmwiki.php/Film/TheCameraman",1928,1929,"cameraman1929","tt0018742","movie","The Cameraman","The Cameraman",0,1928,,69,"Comedy,Drama,Family",0,"m0025"
"The Iron Mask","https://tvtropes.org/pmwiki/pmwiki.php/Film/TheIronMask",1929,1929,"ironmask1929","tt0020030","movie","The Iron Mask","The Iron Mask",0,1929,,95,"Adventure,Drama,History",0,"m0026"
