"tropeid";"tropename";"tropefreq";"tropelink";"tropefreq2000"
"tr00001";"0% Approval Rating";36;"ZeroPercentApprovalRating";20
"tr00002";"0's and 1's";5;"ZeroesAndOnes";3
"tr00003";"100% Adoration Rating";11;"HundredPercentAdorationRating";8
"tr00004";"100% Heroism Rating";2;"HundredPercentHeroismRating";2
"tr00005";"108";5;"OneHundredAndEight";3
"tr00006";"10-Minute Retirement";60;"TenMinuteRetirement";30
"tr00007";"11th-Hour Ranger";9;"EleventhHourRanger";8
"tr00008";"11th-Hour Superpower";31;"EleventhHourSuperpower";24
"tr00009";"12-Bar Blues";1;"TwelveBarBlues";0
"tr00010";"12-Episode Anime";1;"TwelveEpisodeAnime";1
"tr00011";"13 Is Unlucky";28;"ThirteenIsUnlucky";11
"tr00012";"15 Minutes of Fame";7;"FifteenMinutesOfFame";4
"tr00013";"#1 Dime";8;"NumberOneDime";2
"tr00014";"1-Dimensional Thinking";31;"OneDimensionalThinking";19
"tr00015";"1 Million B.C.";6;"OneMillionBC";2
"tr00016";"1-Up";2;"OneUp";2
"tr00017";"20 Minutes into the Future";139;"TwentyMinutesInTheFuture";75
"tr00018";"20 Minutes into the Past";39;"TwentyMinutesIntoThePast";22
"tr00019";"20% More Awesome";2;"TwentyPercentMoreAwesome";2
"tr00020";"'20s Bob Haircut";5;"TwentiesBobHaircut";4
"tr00021";"21-Gun Salute";5;"TwentyOneGunSalute";3
"tr00022";"23";4;"TwentyThree";3
"tr00023";"24-Hour Armor";4;"TwentyFourHourArmor";3
"tr00024";"24-Hour News Networks";2;"TwentyFourHourNewsNetworks";1
"tr00025";"24-Hour Party People";4;"TwentyFourHourPartyPeople";4
"tr00026";"2-D Space";14;"TwoDSpace";6
"tr00027";"2 + Torture = 5";5;"TwoPlusTortureEqualsFive";1
"tr00028";"30 Minutes, or It's Free!";5;"ThirtyMinutesOrItsFree";2
"tr00029";"30-Second Blackout";6;"ThirtySecondBlackout";3
"tr00030";"'50s Hair";3;"FiftiesHair";0
"tr00031";"555";63;"FiveFiveFive";28
"tr00032";"65-Episode Cartoon";5;"SixtyFiveEpisodeCartoon";0
"tr00033";"6 Is 9";6;"SixIsNine";3
"tr00034";"'70s Hair";20;"SeventiesHair";8
"tr00035";"'80s Hair";88;"EightiesHair";14
"tr00036";"8.8";3;"EightPointEight";3
"tr00037";"90% of Your Brain";14;"NinetyPercentOfYourBrain";7
"tr00038";"'90s Anti-Hero";10;"NinetiesAntihero";6
"tr00039";"Abandoned Area";18;"AbandonedArea";9
"tr00040";"Abandoned Catchphrase";2;"AbandonedCatchphrase";2
"tr00041";"Abandoned Hospital";16;"AbandonedHospital";11
"tr00042";"Abandoned Hospital Awakening";5;"AbandonedHospitalAwakening";5
"tr00043";"Abandoned Mine";3;"AbandonedMine";1
"tr00044";"Abandoned Pet in a Box";5;"AbandonedPetInABox";3
"tr00045";"Abandoned Playground";9;"AbandonedPlayground";7
"tr00046";"Abandoned War Child";4;"AbandonedWarChild";1
"tr00047";"Abandoned Warehouse";26;"AbandonedWarehouse";13
"tr00048";"Abandon Ship";31;"AbandonShip";9
"tr00049";"Abbey Road Crossing";6;"AbbeyRoadCrossing";4
"tr00050";"Abdicate the Throne";7;"AbdicateTheThrone";1
"tr00051";"Abduction Is Love";17;"AbductionIsLove";6
"tr00052";"Abhorrent Admirer";114;"AbhorrentAdmirer";42
"tr00053";"Ability over Appearance";5;"AbilityOverAppearance";3
"tr00054";"A Birthday, Not a Break";13;"ABirthdayNotABreak";9
"tr00055";"Abled in the Adaptation";2;"AbledInTheAdaptation";0
"tr00056";"A Bloody Mess";10;"ABloodyMess";4
"tr00057";"AB Negative";7;"ABNegative";3
"tr00058";"Abnormal Ammo";41;"AbnormalAmmo";21
"tr00059";"Abnormal Limb Rotation Range";16;"AbnormalLimbRotationRange";11
"tr00060";"Abomination Accusation Attack";3;"AbominationAccusationAttack";1
"tr00061";"Aborted Arc";81;"AbortedArc";47
"tr00062";"Aborted Declaration of Love";4;"AbortedDeclarationOfLove";1
"tr00063";"Above Good and Evil";8;"AboveGoodAndEvil";3
"tr00064";"Above the Influence";17;"AboveTheInfluence";11
"tr00065";"A Boy, a Girl, and a Baby Family";7;"ABoyAGirlAndABabyFamily";4
"tr00066";"A Boy and His X";66;"ABoyAndHisX";28
"tr00067";"Abridged for Children";1;"AbridgedForChildren";0
"tr00068";"Absence Makes the Heart Go Yonder";38;"AbsenceMakesTheHeartGoYonder";11
"tr00069";"Absence of Evidence";7;"AbsenceOfEvidence";4
"tr00070";"Absent Aliens";8;"AbsentAliens";2
"tr00071";"Absentee Actor";21;"AbsenteeActor";11
"tr00072";"Absent-Minded Professor";31;"AbsentmindedProfessor";4
"tr00073";"Absolute Cleavage";54;"AbsoluteCleavage";22
